WorkerId,AcceptTime,SubmitTime,Answer 53,type,grammaticality,sentence,response,rt,locative,subject,copula,question_number
Z2MAA43UE01CIGJNY0SSRYAJN4U0GYQ8U6HF3WEEHD3A8OWPKG,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,1,The televisions that her owns are broken.,1,2410,,,,50
FV8M5XS1AWQQZV1U5O1VPLY6QATWZOS3WVSXIXXO1LYG3ELWNP,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,1,All of the birds sleeps on my roof.,1,2652,,,,33
N0ED628LMSM6SFDFAX9AJ8JVPI5XBWCTD9VV9HVYGFVQT9G9YU,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,0,All of the airplanes take off from this runway.,7,2346,,,,39
I3W7RSW8UB45SLVX6JU6D54KY4QNMB9VVUWBOKHMR9WBGH8A0G,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,0,The gophers were asleep in their holes.,7,2676,,,,29
ZT7EP138FIERMUMIPY4E4IMO3YPNY237RKG0DWJV72HAI6BDUD,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,0,All of the books on the shelf belong to her.,6,4391,,,,28
SSV4TK18V1I3VUGH8Y68BIBS91EEUQUL0X75XW2N86SS3SDIWQ,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,0,The politicians debated among themselves in private.,7,2521,,,,25
HMJJ26YEPJTWCXWD6LZI9QPZWCBEY7B8WKD0MRLU4S1X1QOMES,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,1,All of the students eats in the cafeteria.,7,5374,,,,24
TLAGBMID41YE8YJOAIU837IMYI5U2GIZL2FVW3X136AEU5QBH5,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",target,1,There is a turtle at the aquarium.,6,3367,at the aquarium,sg, is,27
3OBU48HF2JDUEDBKILHOBR3C8LSPQPGXK59TPPQ17TOR7DKVRW,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,0,The employee has come in late every day.,6,2760,at the aquarium,sg, is,26
A09DCQQJUWPDFEYE5OPIGWUT57FFU0JT67I1TAJCE9K2YG4KF5,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,0,Every dolphin likes to play.,6,2362,at the aquarium,sg, is,21
WNWPQSU8G8Y6EGNRD636K4AAYUH0BHBLAL7I88WGGIQZT8R0D2,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,0,A male lion has a large mane.,7,1896,at the aquarium,sg, is,20
YDWI4U7HD3D24GXUXF3ERPKPSKR2SJRWA3TJRMLRXWJYYN8EAK,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",target,0,There's magazines and a book on the table.,5,3689,on the table,conj_pl,'s,23
DH0UE6IDQTILRERORALMF4VPBH57OHNMVUIC67XBIHZ137MY3X,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,1,The jacket fit he well.,1,2186,on the table,conj_pl,'s,22
FXKRYLQMZBLQCO988PVXLK2RH5F2LXICMDUSKGNDDTJIS3B1HI,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",target,1,There is pillows and a blanket on top of the bed.,5,3214,on top of the bed,conj_pl, is,47
CVP8IE7RTT8K2171OVFEG1G2G3PU8VHMS2TGFRIXAOS1KK0C7H,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,0,The landlord told me that my lease was up.,7,5489,on top of the bed,conj_pl, is,46
GC4X9NYECK3SOUK0OJ5E2TX2403JJP0KGSORJNML7VROY32YEY,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,1,Every parent with a daughter loves she.,1,2962,on top of the bed,conj_pl, is,45
BI9R9Y2397MMZHU10U5WABW91O3719ECG2Z81TZ3QSFT23JLGN,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,1,Some women runs the shop.,1,3509,on top of the bed,conj_pl, is,44
I91PMGA67AFYDK5OVXDD41JGFA66H8YFSS0WZF1Q70ZG5T581P,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",target,1,There is giraffes in the zoo.,4,5423,in the zoo,pl, is,43
J3UPCM4YSM9Q0X9R18R67L3G985TWAP0QKXBBWY0DB2XT6WD6L,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,1,Some bicycles has to be fixed.,1,2532,in the zoo,pl, is,42
46ZIMEEFQ55LI343XM555WFTB1ZC1Y94XBA1Q6WOIZVB05IJFV,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,0,A teacher has to be present during the exam.,7,3466,in the zoo,pl, is,41
MZ5FFNX3U5RIAXX8VDDWLXB9U4GS1GFNFVF0WHG8VHPSDJFGV3,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,1,Every spider scares I.,1,2203,in the zoo,pl, is,40
1YZL6YZHPL0TW6I3GEO3QC5ACPVWTRV45FAHQRC3OKE3YZSX8C,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,1,A hawk is flying after she prey.,1,2659,in the zoo,pl, is,49
IAGQ2M0G81P5ZI3HKAD23YFQ06CNUSHL7QVFBPGTZMI1CLJE7O,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,0,Some deer make a home for themselves around here.,2,5673,in the zoo,pl, is,48
TVKIT5ZUA360YKJ0XQLPCOW797CPB43WVKH8ODM01QV6WG0SC0,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",target,0,There are trucks and a minivan in the driveway.,5,6690,in the driveway,conj_pl, are,6
F35RVF0JSC3D2XKYEB3HY3W6RKW773OI3OLPC4N46SPNQWHHB8,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,1,An apple fell from the tree and hit I.,1,3246,in the driveway,conj_pl, are,7
HTW31WRQATJKGHD9HP56X6HISRMA4G7SH9VY7G1021CCGNBZPU,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,1,Children plays in this park all the time.,1,3678,in the driveway,conj_pl, are,4
3BQY8BXRSBJABP8J0F77DXGFDXHASWUOUD2ZCXJ9CMCFIKYQGQ,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,0,The skunks love to spray me.,5,2637,in the driveway,conj_pl, are,5
MN1UQSP7TYGSEAZOMGY191OEQTI0X0M37PSB7776MHWLSVJ4JG,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,0,My stereo has not worked for a while.,7,5372,in the driveway,conj_pl, are,2
QDY8GYEI5H34SV1U5YNKQB64MFGSHQ5BRQPQ1MAE6K7346ET02,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,0,I gave the package to her yesterday.,7,3337,in the driveway,conj_pl, are,3
5YNAAN6KN05RNGJL21RL4O381FE6FQX3GCOPE1581CRONSAC7W,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,1,He phone's screen is broken.,1,8032,in the driveway,conj_pl, are,1
LI1JA6E6MHPIUUDTRSH20CNWK89PMXUW0VZS9TZYO0244AYHXI,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,1,A backpack carry all of my textbooks.,2,4524,in the driveway,conj_pl, are,8
JMW31G4O2K2V2M7P1MR522HIHOVBL59HAFO7X2OYWWFNSD7WH3,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,0,The elephant has a long trunk.,6,4457,in the driveway,conj_pl, are,9
HXZNF3U0YOY0QAO5WTALHS5QCFOY0A264XUNDAMXP10C0BRJ3W,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",target,0,There is a restaurant and a bank on this block.,6,3672,on this block,conj_sg, is,14
MQXTAMZ1YJBX0J7QBKCTH95UFQ0U1A6RLBOQHEKH0PZ69BP6AS,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,0,The snake is my favorite animal.,7,2406,on this block,conj_sg, is,15
1ML7O0JQSYY7U5NKUVUCPUV2X6PU3JUCK5K6LG9VFK8I7CCG0P,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,1,Some managers suggested that we fire he.,1,3157,on this block,conj_sg, is,16
QM9QS8CZ0T5ND3DOWEIBIQQFE7GCCAII7TRKBGT0EQDYG4A9MO,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,0,All of the doctors said that she was healthy.,7,2794,on this block,conj_sg, is,17
8DKC0LXHY2VZZVSW9889HWGVHU3D4P1ILB13WT10CEPMX5WZFG,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",target,0,There are chickens at this farm.,6,4037,at this farm,pl, are,10
7HMR3HXHDE4FRUS9KXED6MCPKQCRILU6TE12UHRXLYY3JKPIZG,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,1,Some clothes of you ended up in my laundry.,1,3346,at this farm,pl, are,11
2ETBWGCE8Z6O3AURHJTJH95LWX1Y4UTA6CE6INUMUPF5MPAYUR,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,1,All of the mice were in it cages.,1,8534,at this farm,pl, are,12
ZZAC17T1BLQQWWBXY773F8WW2ZF18638EL69CFH92C2925HLTW,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,1,The stapler require extra-large staples.,7,2515,at this farm,pl, are,13
FKPHCQHETQOMV3I7KN91HKLF0TYKZC3AOHFLR0KR8GQR9BE2QE,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,1,Some foxes lives in the woods behind my house.,7,2745,at this farm,pl, are,36
LGELIQWAJFVDA2U6KH5ZL7U8ATJCE3CW9C74ATDQ1T69JAUCLE,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,0,A basketball player was cut from the team because he did not come to practice.,7,3293,at this farm,pl, are,37
RRT5OARP04UFB9C978FL3BGWSNNUKMYLI6BR51DEC59N90MHJV,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,0,Every government official plans to attend the meeting.,7,3164,at this farm,pl, are,34
J8UPF13BGTEL6SV2MAAOTHBNXMZ8JI1SQDP2E5AAW7BZN6VHLR,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",target,0,There are a tree and a bush in the yard.,3,7833,in the yard,conj_sg, are,35
TIGGHN7NEYUS0L1IYVJIH15JGV8NCHT15P3PXNQSA0R2N162FZ,Sat Jan 02 05:44:40 PST 2016,Sat Jan 02 05:48:21 PST 2016,"""English""",filler,0,The computers at the university cost thousands of dollars.,7,2346,in the yard,conj_sg, are,18
